server,operation,latency_ms,throughput_ops_sec,success_rate,total_operations,successful_operations,latency_min_ms,latency_max_ms,latency_std_ms
git-mem-sync,set,1.8099507503211498,552.5012212749791,100.0,50,50,1.0729609057307243,3.5603491123765707,0.5846961002198883
git-mem-sync,get,0.24478356819599867,4085.241535491051,100.0,50,50,0.09654415771365166,0.7516150362789631,0.14109059564018464
git-mem-sync,delete,0.977356806397438,1023.1677862724723,100.0,25,25,0.7552921306341887,1.5602048952132463,0.2242326491791405
git-mem-sync,list,0.18297694623470306,5465.169359189698,100.0,1,1,0.18297694623470306,0.18297694623470306,0
git-mem-sync,memSearch,4.3475620332174,230.01396929118755,100.0,4,4,,,
git-mem-async,set,0.7326566381379962,1364.8958433536359,100.0,50,50,0.3506469074636698,4.054015036672354,0.5764014478825248
git-mem-async,get,0.23378544487059116,4277.426255315153,100.0,50,50,0.06009405478835106,0.9939130395650864,0.16592786227644649
git-mem-async,delete,0.3272273950278759,3055.9788550552494,100.0,25,25,0.1724890898913145,0.7165828719735146,0.12561350220574963
git-mem-async,list,0.1943239476531744,5146.046136242459,100.0,1,1,0.1943239476531744,0.1943239476531744,0
git-mem-async,memSearch,4.608508723322302,216.98993319450503,100.0,4,4,,,
engram,set,0.5048451106995344,1980.8055556175602,100.0,50,50,0.12622191570699215,1.4617850538343191,0.3799504083370659
engram,get,0.11693193577229977,8551.983625305653,100.0,50,50,0.0756741501390934,0.21953205578029156,0.03138531359805046
engram,delete,0.19065836444497108,5244.983627710841,100.0,25,25,0.08428096771240234,1.641285140067339,0.30555449510952226
engram,list,0.08700508624315262,11493.58092934137,100.0,1,1,0.08700508624315262,0.08700508624315262,0
